 ,Area1,BX1,BY1,Width1,Height1,%Area1
1,221873,299,0,333,980,90.986
2,221873,299,0,333,980,85.711
3,221873,299,0,333,980,81.437
4,221873,299,0,333,980,73.634
5,221873,299,0,333,980,69.378
6,221873,299,0,333,980,68.095
7,221873,299,0,333,980,58.806
8,221873,299,0,333,980,56.752
9,221873,299,0,333,980,55.950
10,221873,299,0,333,980,49.507
11,221873,299,0,333,980,45.566
12,221873,299,0,333,980,34.012
